
4816683327672908,39385271820845634478,Gift Cards,17.72,6.61

0911255208698955,25867248437110601432,Baby,12.83,2.75

6683414238680399,96520119728644480082,Appliances,17.34,3.13

4975828930086965,51531868891772291589,Automotive,12.27,1.86

0638901151099874,92685425904997978881,Photo Shop,17.22,4.21

6537712849594337,87908337056340759366,Bakery,10.73,0.85

3663405873668696,88620249668379048840,International,11.75,4.91

5616312143448106,26761211143034934597,Jewelry,18.77,8.48

7906242730279690,48996916239520647316,Deli,16.47,4.27

1276448878160824,67590620582640523769,Baking Goods,19.35,7.24

5234981004920030,97733090804595168574,Sporting Goods,16.89,0.12

1223651103809322,72582199553754045279,Pet Care,18.55,2.54

8008535506678390,98062313381021057830,Promotions,12.02,2.79

1057043898671327,21806588531783652237,Paper &amp; Plastics,16.94,0.11

1061696831507661,21452161144459387512,Travel &amp; Luggage,15.07,5.06

2582214516989584,76314716698150308390,Kitchen,17.75,0.67

9131891630585208,30417547581177009338,Gift Cards,19.82,2.74

9266162273151851,92390703092702798694,Appliances,20.0,3.64

7670500048004242,58131651659695973233,Apparel,19.44,7.67

0677335752583272,31463880544002973964,Sporting Goods,10.97,5.02

2867149433975229,44014939300247997413,Condiment &amp; Sauces,13.23,6.69

6846660072774746,46789326137348431451,Cleaning Products,14.41,2.88

1260537807003380,69138366089229840875,Beverages,18.12,3.55

0502454548950074,65505503140326922472,Floral,16.79,7.95

0597565834924962,14258270457841839504,Baby,17.06,1.04

9417873887097958,53715126541542315784,Health &amp; Beauty,12.24,3.51

1182377592539394,12927257190872648548,Frozen,13.48,4.38

5500428761132494,36461213395167361161,Hardware,17.35,3.91

5177763620572481,27484786019373157566,Snacks,14.53,3.0
9
714280735055051,66840369126090359748,Bulk Foods,17.1,3.92
